cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E2_A1,209,Biased,MC,1,g,677,,534,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,745,,577,Fish3_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,724,,550,Fish3_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,520,,718,Fish9_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,626,,577,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,806,,636,Fish9_incD.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,575,,741,Dog10_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,562,,508,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,814,,496,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,620,,601,Fish9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,751,,689,Bird5_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,579,,903,Fish9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,804,,555,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,598,,505,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,647,,561,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,613,,769,Dog8_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,587,,782,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,750,,500,Dog5_con.bmp,1
